	name	mz	RT	HU_pos_001	HU_pos_007	HU_pos_013	HU_pos_022	HU_pos_040	HU_pos_050	HU_pos_060	HU_pos_081	HU_pos_086	HU_pos_116	HU_pos_124	HU_pos_140	HU_pos_145	HU_pos_162	HU_pos_183	HU_pos_188b	HU_pos_189b	HU_pos_189	HU_pos_192b	HU_pos_193b	HU_pos_204b	HU_pos_205b	HU_pos_213	HU_pos_214	HU_pos_224
709	M151T344	151.1117336	344.1674692	0	491262.2267	470893.7254	1021133.909	188491.0575	231456.0963	574558.195	354499.2291	2275314.682	202380.2084	370200.7932	0	1622501.259	1714333.841	0	0	986609.9864	474898.3025	0	649555.4969	1977118.623	2161933.286	1196172.857	0	0
710	M151T409	151.1116884	408.7617998	373931.1232	3167133.151	4152424.668	1485893.501	736279.5166	2471808.821	1970821.746	2653236.383	4293359.569	0	2275510.636	751786.2958	730058.4212	1683884.044	0	0	1599498.798	569219.9162	1349890.49	488877.2173	1524573.011	2249848.495	0	0	125812.0036
711	M151T821	151.231831	821.0208042	887084.9077	1660989.485	1673402.695	1630595.019	1027663.541	1840410.483	462425.1552	605221.5558	496318.3455	163846.8868	0	0	160107.8746	0	0	0	0	321539.3795	0	0	0	0	0	0	0
712	M152T368	151.5383881	367.6508257	2062434.161	1705351.691	2507393.414	184188.9159	2213232.041	381973.897	1049409.358	3185615.315	462660.5796	279894.7702	425198.7592	1596032.226	246111.6618	0	0	571576.3143	1469861.298	1325021.595	954593.6417	1764935.87	0	255979.2683	172318.0658	0	0
713	M152T361	151.5441908	361.2817883	1383196.425	5547989.161	188560.3333	787751.3166	1621665.26	1373904.305	0	1165490.286	3451601.261	521165.3291	1112455.605	206079.1512	0	1505289.244	194862.0575	0	0	0	466657.8237	0	0	0	318757.5137	1311251.514	205984.9228
714	M152T56	152.023146	55.8789575	37920387.26	198223751.9	10792533.1	37170965.33	24024806.62	28643174.74	47076366.87	5603655.233	4238638.415	27163979.35	28263185.19	19438258.41	179882631.9	5349665.506	46304868.51	14404739.87	18221875.27	26061242.47	70265974.86	7683081.029	81055312.94	130736956.1	40956916.46	18805038.87	65105.41608
715	M152T276	152.0344043	276.4311235	1430043.326	14078949.3	17061323.61	1637664835	22923163.81	786582056.3	15435161.68	4433408.665	30234456.6	218874391.3	42773230.3	3142750.521	3261666.14	431297036.9	1283998444	635787.5506	13863402.09	9039867.208	9798141.003	1321475.584	32296486.94	13514257.28	82745623.88	3323928.404	1041333.073
716	M152T66	152.0578556	65.63410964	196049.2296	0	0	0	0	0	0	1117491.941	7044897.863	0	905022.9768	2296364.016	7731292.195	6368778.75	238482.3373	0	277462.798	2855077.304	0	324220.4327	0	0	0	4028319.24	1780718.313
717	M152T267	152.0645414	267.0412554	561543.7402	10842743.97	4769827.317	7079639.112	7414469.423	7177977.887	9140087.209	9877173.433	19381022.83	3134252.555	10132222.58	5290491.275	12033625.23	12167027.08	2113755.989	976974.9442	7138900.048	1350895.479	4861954.055	3840822.195	14230938.43	6139313.829	2111949.443	908243.3694	0
718	M152T51	152.0684833	50.74540892	1632553.476	235120.1036	3297497.786	2928808.858	449022.6707	1408642.775	2607725.562	442355.8392	2287086.44	2799238.49	416804.7584	1309756.19	3538763.887	2501779.57	2963552.132	2283975.136	514984.3422	855435.0482	345760.4534	781106.0441	0	776708.0563	1797559.189	69805.78639	0
